source	target	number_of_paths	edge_type	edge_count
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	2120	has phenotype	4240
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	2120	involved in	2388
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	2120	None	1452
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	2120	is part of	280
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	2120	enables	120
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	NA	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	404	in 1 to 1 orthology relationship with	808
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	404	has phenotype	808
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	404	involved in	276
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	404	enables	300
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	404	is part of	160
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	404	None	72
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	48	in 1 to 1 orthology relationship with	96
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	48	has phenotype	96
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	48	is part of	24
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	48	involved in	72
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	588	in 1 to 1 orthology relationship with	1176
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	588	has phenotype	1176
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	588	involved in	788
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	588	None	352
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	588	is part of	8
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	588	enables	28
